image_id,source_split,source_folder_label,page_frame_status,confidence,current_bounding_box_coverage,page_size_rules_assessable,placement_rules_assessable,notes
5f2ca8d14ec05542,valid,Angry,cropped_or_content_only,0.8,1.0,False,False,
6176ad8d93c50bbc,train,Angry,cropped_or_content_only,1.0,0.9689,False,False,
f48be395b19aff99,train,Angry,full_page_detected,0.9968,0.8067,True,True,
89d00c951d6a2b27,train,Angry,cropped_or_content_only,1.0,1.0,False,False,
57536edd9e94487a,train,Angry,cropped_or_content_only,1.0,1.0,False,False,
2d06e1edc40a93bb,train,Angry,cropped_or_content_only,0.6,0.9147,False,False,
a183d058c3b91ca5,train,Angry,likely_full_page,0.623,0.3941,True,True,
980bd0873ccfbc66,train,Angry,uncertain,0.2802,0.8789,False,False,
20cd94c77f331c05,valid,Angry,uncertain,0.0,0.9444,False,False,
167b6ad5de0531b8,train,Angry,cropped_or_content_only,1.0,1.0,False,False,
234697f51c2c4152,train,Angry,cropped_or_content_only,1.0,1.0,False,False,
ad7c7a76e053d279,train,Angry,cropped_or_content_only,1.0,0.9922,False,False,
4c6857e5b0cd1d77,train,Angry,cropped_or_content_only,1.0,0.9922,False,False,
26c1179e37ba46a9,train,Angry,cropped_or_content_only,0.8,1.0,False,False,
a78399f1843aca52,train,Angry,cropped_or_content_only,1.0,0.9906,False,False,
0a15d8c649019ab4,train,Angry,cropped_or_content_only,1.0,1.0,False,False,
14d7fc38120c473d,train,Angry,uncertain,0.2499,0.8784,False,False,
007ea28c63c71b5b,train,Angry,cropped_or_content_only,1.0,1.0,False,False,
a6becb83af80ab6f,train,Angry,cropped_or_content_only,1.0,1.0,False,False,
a7a0d9e7351074d9,train,Angry,cropped_or_content_only,0.6,0.9441,False,False,
11af86e394bc9d70,train,Angry,cropped_or_content_only,1.0,0.9956,False,False,
45899a7dc601cbed,train,Angry,cropped_or_content_only,1.0,1.0,False,False,
5b21df73f90491a9,train,Angry,cropped_or_content_only,1.0,0.9657,False,False,
93554fb1deac9191,valid,Angry,likely_full_page,0.6023,0.8816,True,True,
baff6f760e6de88b,train,Angry,cropped_or_content_only,1.0,1.0,False,False,
08a35b2e1ec93e90,train,Angry,likely_full_page,0.6017,0.8324,True,True,
988f174ff3c34277,train,Angry,cropped_or_content_only,1.0,1.0,False,False,
9268cc84035dce84,train,Angry,full_page_detected,0.9629,0.5744,True,True,
dee40e286b96cde6,train,Angry,cropped_or_content_only,1.0,1.0,False,False,
7e3dd8509bfeb08e,train,Angry,cropped_or_content_only,1.0,0.9859,False,False,
2c45ffe33d032435,train,Fear,likely_full_page,0.6583,0.9407,True,True,
7f15dcd5d8086900,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
40b162a34a2e305a,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
b14aaf820a951949,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
90595d9fc5ffe781,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
e111d3ecba6ab570,train,Fear,cropped_or_content_only,1.0,0.9984,False,False,
61055c79a15047da,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
c370e710db7e3574,train,Fear,uncertain,0.2313,0.9441,False,False,
35566a3893e9a9a5,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
dc7678c6de5d22e4,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
c58dfde1974ef55b,train,Fear,cropped_or_content_only,0.7,0.9904,False,False,
3c4c851d4ccc9189,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
e51e10d87823b447,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
8dc354ccd25aab63,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
ce93502df0dff36a,train,Fear,cropped_or_content_only,0.8,1.0,False,False,
5a642b186d4a00c2,train,Fear,uncertain,0.1589,0.4291,False,False,
b82a4d652775550a,train,Fear,cropped_or_content_only,1.0,0.9895,False,False,
eed597dec3e5a8f2,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
707acbb349cb63e7,train,Fear,full_page_detected,0.9978,0.8018,True,True,
eade349582945def,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
07119288c62d97f8,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
70a3638684beedd6,train,Fear,cropped_or_content_only,1.0,0.9152,False,False,
43b062287f662c96,train,Fear,likely_full_page,0.6376,0.9533,True,True,
f2e672e51f7628b9,train,Fear,cropped_or_content_only,0.8,1.0,False,False,
fd050d14452c2585,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
493c54b0f56cccee,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
b9b23b33ea3b9816,train,Fear,full_page_detected,0.9717,0.8784,True,True,
ede9749acb41bc31,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
4421fd76a0dfe7eb,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
2ffb43218e180113,train,Fear,cropped_or_content_only,1.0,1.0,False,False,
3d0d085cda7a70b8,train,Happy,cropped_or_content_only,0.6,0.9938,False,False,
726b34d58e45e972,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
b05ea9626bc31679,train,Happy,cropped_or_content_only,1.0,0.9895,False,False,
75a5b97dbc4d28c3,train,Happy,likely_full_page,0.6445,0.8418,True,True,
faa6ac5cf64ae375,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
7ca29082c2a7ba9e,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
f513ef7275f3dd13,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
825b2fa97232f58b,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
9c4d0df3d368691d,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
