class_name,baseline,cohort,error_type,pilot_id
person,clip_zero_shot,full_80,false_negative,p2b_0000
person,clip_zero_shot,full_80,false_negative,p2b_0003
person,clip_zero_shot,full_80,false_negative,p2b_0004
person,clip_zero_shot,full_80,false_negative,p2b_0006
person,clip_zero_shot,full_80,false_negative,p2b_0007
person,clip_zero_shot,full_80,false_negative,p2b_0008
person,clip_zero_shot,full_80,false_negative,p2b_0009
person,clip_zero_shot,full_80,false_negative,p2b_0011
person,clip_zero_shot,full_80,false_negative,p2b_0013
person,clip_zero_shot,full_80,false_negative,p2b_0015
person,clip_zero_shot,full_80,false_negative,p2b_0016
person,clip_zero_shot,full_80,false_negative,p2b_0018
person,clip_zero_shot,full_80,false_negative,p2b_0019
person,clip_zero_shot,full_80,false_negative,p2b_0020
person,clip_zero_shot,full_80,false_negative,p2b_0021
person,clip_zero_shot,full_80,false_negative,p2b_0024
person,clip_zero_shot,full_80,false_negative,p2b_0025
person,clip_zero_shot,full_80,false_negative,p2b_0027
person,clip_zero_shot,full_80,false_negative,p2b_0028
person,clip_zero_shot,full_80,false_negative,p2b_0029
person,clip_zero_shot,full_80,false_negative,p2b_0031
person,clip_zero_shot,full_80,false_negative,p2b_0033
person,clip_zero_shot,full_80,false_negative,p2b_0034
person,clip_zero_shot,full_80,false_negative,p2b_0037
person,clip_zero_shot,full_80,false_negative,p2b_0038
person,clip_zero_shot,full_80,false_negative,p2b_0040
person,clip_zero_shot,full_80,false_negative,p2b_0041
person,clip_zero_shot,full_80,false_negative,p2b_0043
person,clip_zero_shot,full_80,false_negative,p2b_0044
person,clip_zero_shot,full_80,false_negative,p2b_0045
person,clip_zero_shot,full_80,false_negative,p2b_0046
person,clip_zero_shot,full_80,false_negative,p2b_0047
person,clip_zero_shot,full_80,false_negative,p2b_0048
person,clip_zero_shot,full_80,false_negative,p2b_0049
person,clip_zero_shot,full_80,false_negative,p2b_0050
person,clip_zero_shot,full_80,false_negative,p2b_0051
person,clip_zero_shot,full_80,false_negative,p2b_0052
person,clip_zero_shot,full_80,false_negative,p2b_0054
person,clip_zero_shot,full_80,false_negative,p2b_0055
person,clip_zero_shot,full_80,false_negative,p2b_0056
person,clip_zero_shot,full_80,false_negative,p2b_0057
person,clip_zero_shot,full_80,false_negative,p2b_0058
person,clip_zero_shot,full_80,false_negative,p2b_0060
person,clip_zero_shot,full_80,false_negative,p2b_0061
person,clip_zero_shot,full_80,false_negative,p2b_0063
person,clip_zero_shot,full_80,false_negative,p2b_0064
person,clip_zero_shot,full_80,false_negative,p2b_0065
person,clip_zero_shot,full_80,false_negative,p2b_0066
person,clip_zero_shot,full_80,false_negative,p2b_0067
person,clip_zero_shot,full_80,false_negative,p2b_0068
person,clip_zero_shot,full_80,false_negative,p2b_0069
person,clip_zero_shot,full_80,false_negative,p2b_0070
person,clip_zero_shot,full_80,false_negative,p2b_0072
person,clip_zero_shot,full_80,false_negative,p2b_0073
person,clip_zero_shot,full_80,false_negative,p2b_0074
person,clip_zero_shot,full_80,false_negative,p2b_0077
person,clip_zero_shot,full_80,false_negative,p2b_0079
person,clip_zero_shot,dev_eligible_excl_test,false_negative,p2b_0000
person,clip_zero_shot,dev_eligible_excl_test,false_negative,p2b_0003
person,clip_zero_shot,dev_eligible_excl_test,false_negative,p2b_0004
person,clip_zero_shot,dev_eligible_excl_test,false_negative,p2b_0006
person,clip_zero_shot,dev_eligible_excl_test,false_negative,p2b_0007
person,clip_zero_shot,dev_eligible_excl_test,false_negative,p2b_0008
person,clip_zero_shot,dev_eligible_excl_test,false_negative,p2b_0009
person,clip_zero_shot,dev_eligible_excl_test,false_negative,p2b_0011
person,clip_zero_shot,dev_eligible_excl_test,false_negative,p2b_0016
person,clip_zero_shot,dev_eligible_excl_test,false_negative,p2b_0018
person,clip_zero_shot,dev_eligible_excl_test,false_negative,p2b_0019
